,Start values,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Serie13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448067.4513646561,390252.21551926737,266819.87219096645,156612.45265280487,169943.474124718,129263.87431651924,179471.09553447732,177960.06430592222,164175.64322434794,154434.52241657453,140717.4993670952,213323.66387549584,156922.61198879822,116183.80715682801,151969.0829319878,196676.94732252372,200058.42171013885,160547.63592626876,152096.67050666088,161542.88288104028,182345.36459125907,222544.87614506722,293875.8129618735,322519.38510634465,330288.31640504196,384672.9908440183,309298.7338658725,196412.4321522546,154048.4495500168,208961.6038354971,217768.68914463898,163493.67262467078,167710.54816065312,241179.49117034962,330475.0304653561,555938.2745564088
Serie14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456745.79502032243,312282.2877223792,183297.0482994127,198899.49143357942,151288.6505039987,210050.48774416494,208281.99769506013,192148.90192923302,180748.02887636548,164693.81483504327,247754.6581288936,182250.32975558046,134936.17585273308,176497.28822373296,227935.79933167144,231854.70837491937,186064.27557396496,176270.15590581798,187217.70211050895,211326.42639798514,257915.04760397773,340582.96736659907,373779.00585177,382782.69230119156,445810.9953555025,358457.1303131964,227629.2434409509,178532.1409651884,242172.9178141329,252379.75728896735,189478.54063579504,194365.6253148149,279511.35529966495,382999.0817619977,644296.3281420285
Serie15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455582.8647079732,267408.68003055104,290170.79629193235,220712.21937406005,306438.77895779815,303858.7614721603,280322.4858824998,263689.9626501387,240268.76615217162,335588.01682099,246861.2585916664,182773.4097668054,239068.6632356708,308743.0260157924,314051.25684324757,252027.31489559464,238761.00853928406,253589.65130884634,286245.339935734,349350.4420356087,461325.58493452414,506290.1995483738,518485.8502879351,603858.7889254179,485536.4512039415,308327.7907011927,241824.90685661827,328027.4519590135,341852.79451054643,256651.9966257144,263271.63828191813,378603.01845530665,518778.95359651215,872710.6430174257
Serie16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450105.2594283255,465549.36308950564,354110.18086151127,466042.87723338074,457151.06130932475,421741.0790104669,396717.6911341805,361480.8436452169,502337.68983454694,369523.66632547206,273591.33170245355,357859.02351126116,462153.7440773123,470099.5713336972,377256.67423753586,357398.4988747927,379595.3169340535,428477.22678346693,522938.49958431843,690552.75212999,757859.7461144343,776115.2698860359,903909.0009488945,726793.7083652054,461532.1832997564,361984.81163171877,491020.3706925008,511715.36065161164,384179.3050231507,394088.1674688669,566726.3314609794,776554.0127240793,1306350.126742593
Serie17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463575.49575991364,352608.80083074514,464066.91746951104,455212.80166137137,419952.9529739899,395035.6609314018,359948.2129853668,500207.84489650006,367956.9351680487,272431.34087414853,356341.7488866736,460194.2737203365,468106.4117268342,375657.1561559166,355883.17681336275,377985.8833187009,426660.5403770901,520721.30995513423,687624.9003813728,754646.5216706482,772824.6444514758,900076.5471054249,723712.1997862338,459575.3482777407,360450.0442146899,488938.5096811526,509545.755637575,382550.43590848125,392417.2860964097,564323.487253296,773261.5270782877,1300811.3760952426
Serie18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463694.0082617944,582378.802536388,571267.367595108,527018.1705867464,495748.3210113017,451715.47757937957,627733.7055582505,461765.98938924866,341886.55148444825,447189.5608115129,577518.8447492819,587448.1486584094,471429.34893798153,446614.07774026174,474351.7751774805,535435.8288439356,653476.9912073599,862931.9415009079,947040.4398255271,969852.9976247012,1129547.2311464278,908219.5442646967,576742.1268998738,452345.2485443129,613591.3013035312,639452.276891093,480080.0410186352,492462.4026586012,708195.3579923635,970401.2616174009,1632447.698851168
Serie19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476368.4540675967,467279.6323893394,431085.11177697784,405507.3094319995,369489.75957868964,513467.40915114904,377710.7778448144,279652.9806508067,365787.69493526977,472393.1538544115,480515.0276804473,385615.11713271565,365316.9669832906,388005.57444979786,437970.50464049325,534524.6473848856,705852.5364385202,774650.7741943363,793310.7646417759,923935.874647392,742896.4419224693,471757.82186849834,370004.89340511925,501899.3451655121,523052.85025133117,392691.1246988021,402819.5264305392,579282.635967149,793759.2282010362,1335293.4263079541
Serie20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479202.8743676887,442084.80391998583,415854.3509874479,378917.76693576644,526569.1917732605,387348.55507693207,286788.68682575074,375121.23934231966,484446.87392246013,492775.9878253858,395454.58376765763,374638.5001600441,397906.03668363794,449145.8864552463,548163.7325758522,723863.2734996547,794416.9869483705,813553.1110981948,947511.2891151035,761852.4019685,483795.33062220836,379446.04506560235,514705.95372789283,536399.217755352,402711.14478526014,413097.98573910486,594063.778913986,814013.0177830803,1369365.1588004655
Serie21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480360.9042553462,451859.3950924532,411724.8083393183,567030.3319359181,417112.09693169215,308825.29176962253,403945.2443926473,521671.3701014508,530640.4862117259,425840.9861470024,403425.41193180333,428480.806672758,483657.88402226707,590284.1793516057,779484.3273426248,855459.3296427281,876065.8577081112,1020317.2710706423,820392.5089494991,520969.76275414624,408602.3646023829,554255.5325139341,577615.6889652449,433655.13529740716,444840.0924993094,639711.1471985835,876561.103241394,1474586.0423798892
Serie22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481630.4968092199,438851.6121227788,601363.1884923002,442367.6238150511,327524.2111151005,428403.5376289478,553257.807917071,562769.9908784619,451625.0344946409,427852.2300735517,454424.69228895317,512942.6609014983,626025.0223290687,826680.9623219803,907256.1397960195,929110.3629710777,1082095.9882515538,870066.0744420708,552513.719271929,433342.6396500986,587814.8936655922,612589.4733944716,459912.3189374298,471774.5089249065,678444.7207259514,929635.5948964402,1563870.068686252
Serie23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482209.5445995578,652753.1297934608,480170.48015280726,355513.03767781827,465013.0825316835,600536.8679216413,610861.9215964149,490218.9897897804,464414.6625765717,493257.8944360221,556776.5598481192,679522.4590963686,897325.6026017163,984786.3921650203,1008508.1843360531,1174567.3107112604,944418.221945163,599729.1926244918,470374.25921221566,638047.0552935059,664938.7652731078,499214.47032639495,512090.3526362899,736421.7220478992,1009078.3003486535,1697511.755723864
Serie24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488149.99476010987,359087.0831132098,265864.1982068919,347751.88879300846,449100.97791788285,456822.38845915947,366601.68503964925,347304.3709112564,368874.2766511345,416375.59801269614,508168.9687987036,671049.2347187032,736455.2542663242,754195.1810402549,878379.5900764473,706266.6252397064,448496.97209381865,351761.150869374,477152.31453088415,497262.80881497386,373328.7975978112,382957.80065459595,550720.0859728676,754621.5323143601,1269454.433598842
Serie25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168215.38769948,864934.0563602411,1099607.835157461,1372049.7416775404,1395639.4461303372,1120005.905106654,1061050.6229612364,1126948.9065401691,1272070.3355907856,1552508.5373924323,2050124.5252622415,2249946.651325121,2304143.9547030726,2683540.1144006825,2157717.2804393074,1370204.4416768125,1074666.5447492471,1457749.464114163,1519189.0953868837,1140557.9268155661,1169975.522871412,1682506.5828154767,2305446.501756548,3878314.0392296715
Serie26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163703.9222251973,1396323.6356336935,1742280.6770880383,1772235.7763806297,1422225.876669734,1347362.2286735268,1431042.3625967077,1615323.0442556348,1971434.0840193492,2603325.6940244064,2857067.3904940574,2925889.177020712,3407660.776054987,2739951.0456027472,1739937.4453253408,1364652.2413541079,1851105.4273121643,1929123.7958320957,1448323.611475435,1485679.1880391655,2136510.520915041,2927543.2005545036,4924829.913212559
Serie27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191099.9149059446,1486210.154481867,1511762.6233421485,1213195.1916072513,1149334.5775760615,1220715.8804858162,1377912.0337566468,1681683.894616919,2220703.663171671,2437151.845641868,2495858.596701318,2906822.141233314,2337248.5962273246,1484211.317620606,1164083.4023520714,1579040.4607401942,1645592.1323825764,1235457.229513815,1267322.495510067,1822498.3339930747,2497269.52124637,4201006.37191576
Serie28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208040.227849446,1228810.1103663987,986124.7356407817,934216.7396604021,992237.7975647959,1120011.972866777,1366927.6778236097,1805060.5771693618,1980996.739952514,2028715.5075253833,2362760.119235985,1899792.1109693944,1206415.5078661856,946205.0668758987,1283495.7372775455,1337591.1129094348,1004220.0482477756,1030121.1787699367,1481386.2602222534,2029862.3531472778,3414715.395007759
Serie29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212504.1863748536,973039.1703041273,921819.9771174984,979071.1138175363,1105149.7659683162,1348788.9771175385,1781107.9905791676,1954709.5357729099,2001795.090296465,2331407.034988471,1874582.466696557,1190406.7532119607,933649.2229983673,1266464.1522027135,1319841.6992002954,990894.3637995652,1016451.7944595373,1461728.730098173,2002926.717637372,3369403.194844342
Serie30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208293.4924671247,1144690.8958753792,1191566.0478218452,1301920.1471935674,1588938.9815717253,2098231.7950641895,2302742.854317445,2358211.9264411544,2746510.820188083,2208349.2718560924,1402357.022628519,1099884.1706926106,1491956.3358966536,1554837.6810173616,1167321.729323147,1197429.6250232074,1721987.5007429887,2359545.038458738,3969320.7549500447
